AChBP_random,Cav2.2_random,α4β2_random,α9α10_random,α7_random,α3β4_random,Nav1.2_random,α3β2_random,AChBP_C1,Cav2.2_C1,α4β2_C1,α9α10_C1,α7_C1,α3β4_C1,Nav1.2_C1,α3β2_C1,Nav1.2_C2,α4β2_C2,AChBP_C2,α7_C2,Cav2.2_C2,α3β4_C2,α9α10_C2,α3β2_C2,Nav1.2_C3,α4β2_C3,AChBP_C3,α7_C3,Cav2.2_C3,α3β4_C3,α9α10_C3,α3β2_C3,Nav1.2_C4,α4β2_C4,AChBP_C4,α7_C4,Cav2.2_C4,α3β4_C4,α9α10_C4,α3β2_C4,Nav1.2_C5,α4β2_C5,AChBP_C5,α7_C5,Cav2.2_C5,α3β4_C5,α9α10_C5,α3β2_C5
4.63247,1.9504,27.45148,14.71339,5.17984,3.30573,9.93781,7.55749,20.14199,-3.6667,-0.9027,4.8702,1.74271,11.96558,16.698481,2.4343,14.20075,5.8133,-6.1971,0.4833,7.3314,0.7839,12.62215,0.4293,14.1595,0.6646,10.120573,1.22026,2.6411,6.80154,5.1093,0.9149,11.96719,4.2135,-3.1705,6.59384,4.0646,-4.1749,1.3542,-0.4764,5.7385,-2.2444,-6.065,16.39314,8.60481,-1.1478,-0.1624,-2.8596
11.338252,2.0689,22.5409361,2.1131,6.10788,13.053241,4.2708,6.77949,1.3894,-1.2834,-0.7092,7.8062,1.12481,1.8875,11.01981,16.59002,3.4928,40.4212,-5.4252,17.05283,6.94679,1.4319,6.5266,7.07695,11.20576,7.4498,2.51421,33.8086,1.599,5.96376,12.64758,4.5002,11.4688,30.99502,-5.4466,5.72816,3.07,0.0598,9.54813,-1.6,12.4213,2.7919,12.43979,5.37849,9.91845,7.60607,4.7835,1.197
20.84,2.0717,9.8833,8.75521,3.28752,20.90017,10.27591,24.56921,2.08987,3.638,4.6441,8.46453,-5.6619,1.3851,11.49595,1.1019,4.9117,26.75641,26.2103,1.38282,15.64054,-1.0901,-1.5016,-3.7369,5.0497,8.672,-1.01,4.21202,-7.3448,5.26741,10.33296,-2.0655,21.63551,28.98094,15.55513,-2.2059,1.5942,31.825,-3.409,7.29508,7.99953,0.6057,-1.6145,0.95468,-4.4921,-1.4816,-1.9074,3.9325
-1.5354,2.0899,38.0805,10.79038,3.84424,6.86795,7.81813,6.6725,1.60679,7.06733,-2.2407,3.5746,0.4267,3.48323,4.6191,-1.4369,12.49512,7.8842,-0.5361,8.08,0.3176,6.90698,6.6845,21.85008,10.92204,22.44992,-2.4975,3.18383,-2.6328,2.7982,4.6772,1.2624,14.087,4.6299,32.713,16.86884,0.4356,4.10085,0.192,-2.7074,7.05876,1.8583,4.1173,-1.1038,-9.7447,9.17308,6.8733,5.62478
24.9028,2.1758,18.19066,9.79238,4.71535,4.14139,9.21714,11.69264,-5.2378,10.54074,-3.0095,-0.0362,-0.1472,2.6961,4.3868,2.0174,16.434455,18.41581,-0.6504,7.34782,3.95551,-0.4032,3.7926,7.19491,16.949273,0.2699,20.53862,9.0304,-2.7869,1.2092,-1.5651,3.8228,10.82001,-0.3963,0.83525,2.44879,1.3461,2.8437,-4.5318,-2.7238,8.78937,25.52,3.26169,-3.1859,7.24866,1.3182,8.00251,-0.6414
6.31919,2.2227,26.94504,6.48,6.84713,5.78128,5.4212,5.06286,-2.8619,11.92492,1.1783,6.9673,1.25529,12.9990184,12.90121,3.8928,16.252589,8.7988,4.63118,18.5446,8.8691,-0.3227,3.8961,6.68864,8.54564,5.9746,3.76848,20.13262,6.42737,0.9007,3.863,1.9381,22.52631,4.3447,0.0648,26.6868,12.379966,3.65293,-2.3747,2.2214,9.39048,-2.1021,-1.9859,1.27879,-1.301,3.71737,4.3813,3.7846
13.64978,2.2778,14.60298,11.99753,3.94232,2.7881,5.9234,2.5572,-0.8348,3.0823,2.3678,10.3488,-2.6038,3.12953,14.32086,17.42606,9.39343,5.7297,-6.3277,2.56651,-4.3589,9.78655,6.6162,2.9293,21.6553,23.65243,-2.3524,0.461,4.40709,-1.609,4.1673,3.9431,14.90326,11.6624,-0.5064,1.26569,4.51315,0.8144,2.6335,-4.1181,21.72623,-1.3842,0.84784,0.2928,2.5115,1.1937,2.7424,-1.0871
8.17379,2.286,10.4717,5.3745,6.8979,3.54895,8.1975,25.4379,0.93313,3.91611,7.9832,10.49109,-1.4347,7.32041,10.44896,3.1431,9.00289,21.44139,-2.1688,3.55427,8.99461,6.72922,15.05718,2.4621,16.518126,8.2885,-3.4264,-7.9035,-1.6981,0.4717,7.4663,2.2624,8.74685,1.6658,3.51206,6.51783,6.24992,3.11307,5.4792,4.6213,19.35988,-0.5753,2.71446,0.71189,-6.7548,4.81957,-5.1738,4.257
22.6762,2.2904,8.7049,0.8413,6.4486,5.01771,9.96113,3.2992,15.07643,3.9811,1.6614,1.696,0.308,11.15804,19.28392,8.28382,10.97204,13.11989,10.6440417,1.78704,2.6127,1.4878,-1.9792,3.8137,12.43478,30.81784,9.25513,-8.113,1.2328,8.11423,12.01898,16.72235,16.5770694,15.68425,-0.1775,1.398,3.25878,0.985,0.8906,18.79987,10.33738,-1.7962,2.05053,1.85602,-2.5566,3.54129,0.9647,-1.8663
44.8069,2.3328,2.486,6.7974,-3.3054,-2.106,3.6054,17.93413,3.0653,0.9599,14.11001,6.1779,0.69474,6.40891,12.71531,4.3525,12.04308,10.9936,3.29385,0.0279,-2.9212,-0.0669,8.64421,1.5795,12.33797,22.278484,1.05069,1.18329,-2.0453,-0.0687,6.7333,1.6404,18.832,27.7532,-2.11,-2.1729,-3.8949,0.8722,9.49347,3.138,15.06806,-2.9231,-3.7598,14.29675,-1.6905,-0.5555,-2.1529,-1.7332
